Category,BSR,Revenue,Review.velocity,Sales,Brand,ASIN,Price,FBA.Fees,Product.Details
groceryfoodchocolateboxesgifts,7,10005,946,2668,Ferrero,B0177IQTXO,3.75,2.64,Ferrero Rocher Chocolate Hamper Christmas Gifts Set Sweets Hazelnut and Milk Chocolate Pralines 200g Pack of 16
grocerydrinkssingleservecapsulespods,23,"363,636.00",223,12987,STARBUCKS,B07X63HBQ4,28,6.78,Starbucks Blonde Espresso Roast by Nespresso Coffee Pods 8 x 10 Capsules
groceryfoodchocolateboxesgifts,52,16488,551,2748,M&M's,B00DGL2GC0,6,3.15,M&M's Peanut Chocolate Party Bulk Bag Christmas Chocolate Gift Stocking Fillers 1 kg
groceryfoodchocolateboxesgifts,59,22130.41,0,1277,Nestlé,B09B7Z9KG5,17.33,5.31,Nestlé KITKAT Festive Friends Xmas Variety Pack Milk Chocolate Figures with tasty filling approximately 100 figures with 10 different characters
grocerydrinksteablack,67,"156,044.00",174,11146,Twinings,B01LXFRFO7,14,4.8,Twinings English Afternoon Tea 400 Tea Bags (Multipack of 4 x 100 Tea Bags)
groceryfoodchocolateboxesgifts,88,"205,497.20",213,10280,Celebrations,B07318ZZLL,19.99,7.2,"Celebrations Chocolate Bulk Box, Christmas Chocolate Gift, Stocking Fillers, (Maltesers, Galaxy, Snickers and More), 2.4kg"
groceryfoodchocolateboxesgifts,97,9504,0,1584,Thorntons,B07WV5V488,6,2.99,Thorntons Chocolate Classic Chocolate Hamper Christmas Gifts Set Assorted White Milk and Dark Chocolates Box 449 g
grocerydrinksteablack,123,"116,792.64",119,9096,Tetley,B0077PSEA4,12.84,4.87,"Tetley Original Tea , 480 Tea bags(Pack of 6)"
groceryfoodchocolateboxesgifts,196,9014.95,1,1505,Lindt,B01KI2M0MK,5.99,2.04,Lindt Mini Snowmen Milk Chocolate Figures 50g
groceryfoodchocolateboxesgifts,202,29210.76,-3,2924,Cadbury,B075CPGN9L,9.99,3.02,Cadbury Heroes Christmas Advent-ure Calendar 232g
groceryfoodchocolateboxesgifts,214,12990.55,6,2635,Moo Free,B08HGZFZKN,4.93,2.06,Moo Free Alternative to Milk Chocolate Advent Calendar
grocerydrinkswholecoffeebeans,221,15120,0,2250,Solimo,B08WSQMK7D,6.72,3.28,Amazon Brand - Solimo Coffee Beans 1 kg (1 x 1 kg)
groceryfoodchocolateboxesgifts,267,50911.68,11,2896,TOBLERONE,B07Y22TWNF,17.58,6.85,Toblerone Advent Calendar 200 Grams
